Unnamed: 0,BL Date,Vessel,Destination,CHARTERERS,API,BSW,Pour point,Sulphur,Density,H2S,Salt,SEDIMENT,RVP,TAN,Unnamed: 1,Unnamed: 2
,21/11/2021,MT JIAOLONG SPIRIT,"FOS, FRANCE",VITOL,35.7,0.075,,,,,,,,,,
,,,,,,,,,,,,,,,,
,28/12/2021,FAITHFUL WARRIOR,"JOSE IGNACIO, URUGUAY FOR ORDERS",,38.96,0.028,,,,,,,,,,
,,,,,,,,,,,,,,,,
,23/01/2022,MT MONTREAL SPIRIT,LOME FOR ORDERS,SHELL,40.66,0.025,,,,,,,,,,
,31/01/2022,MT AEGEAN MARATHON,GIBRALTAR FOR ORDERS,SAHARA,35.23,0.035,,,,,,,,,,
,,,,,,,,,,,,,,,,
,08/02/2022,MT HOMERIC,TUTUNCIFLIK / IZMIT REFINERY,VITOL SA,36.25,0.05,,,,,,,,,,
,,,,,,,,,,,,,,,,
